Дата;Амп. (А);Амп. (C)
20.07.2023 0:00;0,06;0,05
21.07.2023 0:00;0,05;0,05
22.07.2023 0:00;0,05;0,05
23.07.2023 0:00;0,05;0,06
24.07.2023 0:00;0,05;0,06
25.07.2023 0:00;0,05;0,23
26.07.2023 0:00;0,06;0,06
27.07.2023 0:00;0,05;0,06
28.07.2023 0:00;0,06;0,06
29.07.2023 0:00;0,05;0,06
30.07.2023 0:00;0,05;0,3
31.07.2023 0:00;0,06;0,05
01.08.2023 0:00;0,05;0,05
02.08.2023 0:00;0,06;0,05
03.08.2023 0:00;0,05;0,06
04.08.2023 0:00;0,05;0,05
05.08.2023 0:00;0,05;0,05
06.08.2023 0:00;0,06;0,05
07.08.2023 0:00;;
08.08.2023 0:00;;
09.08.2023 0:00;;
10.08.2023 0:00;;
11.08.2023 0:00;;
12.08.2023 0:00;;
13.08.2023 0:00;;
14.08.2023 0:00;;
15.08.2023 0:00;;
16.08.2023 0:00;;
17.08.2023 0:00;;
18.08.2023 0:00;;
19.08.2023 0:00;;
20.08.2023 0:00;;
21.08.2023 0:00;;
22.08.2023 0:00;;
23.08.2023 0:00;;
24.08.2023 0:00;;
25.08.2023 0:00;;
26.08.2023 0:00;;
27.08.2023 0:00;;
28.08.2023 0:00;;
29.08.2023 0:00;;
30.08.2023 0:00;;
31.08.2023 0:00;;
01.09.2023 0:00;0,06;0,06
02.09.2023 0:00;0,06;0,06
03.09.2023 0:00;0,06;0,07
04.09.2023 0:00;0,06;0,05
05.09.2023 0:00;0,06;0,05
06.09.2023 0:00;0,05;0,05
07.09.2023 0:00;0,05;0,05
08.09.2023 0:00;0,05;0,05
09.09.2023 0:00;0,05;0,08
10.09.2023 0:00;0,07;0,05
11.09.2023 0:00;0,06;0,05
12.09.2023 0:00;0,06;0,06
13.09.2023 0:00;0,06;0,05
14.09.2023 0:00;0,05;0,05
15.09.2023 0:00;0,06;0,05
16.09.2023 0:00;0,06;0,07
17.09.2023 0:00;0,06;0,05
18.09.2023 0:00;0,05;0,05
19.09.2023 0:00;0,06;0,05
20.09.2023 0:00;0,06;0,05
21.09.2023 0:00;0,06;0,05
22.09.2023 0:00;0,06;0,05
23.09.2023 0:00;0,06;0,05
24.09.2023 0:00;0,05;0,05
25.09.2023 0:00;0,06;0,05
26.09.2023 0:00;0,07;0,05
27.09.2023 0:00;0,05;0,05
28.09.2023 0:00;0,05;0,05
29.09.2023 0:00;0,06;0,05
30.09.2023 0:00;0,06;0,05
01.10.2023 0:00;0,06;0,06
02.10.2023 0:00;0,06;0,05
03.10.2023 0:00;0,05;0,05
04.10.2023 0:00;0,05;0,05
05.10.2023 0:00;0,06;0,05
06.10.2023 0:00;0,07;0,06
07.10.2023 0:00;0,08;0,06
08.10.2023 0:00;0,07;0,05
09.10.2023 0:00;0,07;0,05
10.10.2023 0:00;0,06;0,05
11.10.2023 0:00;0,07;0,05
12.10.2023 0:00;0,07;0,05
13.10.2023 0:00;0,07;0,05
14.10.2023 0:00;0,07;0,05
15.10.2023 0:00;0,07;0,05
16.10.2023 0:00;0,07;0,05
17.10.2023 0:00;0,07;0,05
18.10.2023 0:00;0,07;0,05
19.10.2023 0:00;0,07;0,05
20.10.2023 0:00;0,07;0,06
21.10.2023 0:00;0,07;0,05
22.10.2023 0:00;0,09;0,05
23.10.2023 0:00;0,08;0,06
24.10.2023 0:00;0,08;0,06
25.10.2023 0:00;0,07;0,05
26.10.2023 0:00;0,07;0,05
27.10.2023 0:00;0,08;0,05
28.10.2023 0:00;0,08;0,07
29.10.2023 0:00;0,07;0,06
30.10.2023 0:00;0,08;0,07
31.10.2023 0:00;0,07;0,06
01.11.2023 0:00;0,07;0,05
02.11.2023 0:00;0,08;0,06
03.11.2023 0:00;0,08;0,05
04.11.2023 0:00;0,08;0,06
05.11.2023 0:00;0,07;0,06
06.11.2023 0:00;0,08;0,06
07.11.2023 0:00;0,07;0,05
08.11.2023 0:00;0,07;0,05
09.11.2023 0:00;0,07;0,05
10.11.2023 0:00;0,07;0,05
11.11.2023 0:00;0,07;0,05
12.11.2023 0:00;0,09;0,07
